amfi_code,scheme_name,fund_house,category,plan,return_1yr_pct,return_3yr_pct,return_5yr_pct,sharpe_ratio,sortino_ratio,alpha,beta,std_dev_ann_pct,max_drawdown_pct,expense_ratio_pct,risk_grade,benchmark_3yr_pct,benchmark_difference_pct,benchmark_status
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,Regular,21.3,20.15,21.88,0.81,1.14,0.8,1.03,25.0,-30.87,1.53,Very High,19.35,0.7999999999999972,Outperforming
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,Direct,10.14,11.77,12.31,0.91,1.24,1.8,1.04,13.0,-26.75,0.89,Moderate,9.97,1.799999999999999,Outperforming
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,Regular,6.19,5.31,8.71,1.33,2.38,0.89,0.37,4.0,-2.23,0.55,Low,4.42,0.8899999999999997,Outperforming
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,Regular,14.37,12.25,13.42,0.87,1.34,1.27,0.93,14.0,-17.86,1.59,Moderate,10.98,1.2699999999999996,Outperforming
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,Regular,17.12,18.23,17.75,0.96,1.27,1.91,1.0,19.0,-21.92,1.56,High,16.32,1.91,Outperforming
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,Regular,15.74,15.65,13.5,0.98,1.57,1.85,0.95,16.0,-19.5,1.45,Moderately High,13.8,1.85,Outperforming
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,Regular,4.26,6.18,8.26,6.18,9.7,1.52,0.47,0.5,-3.81,0.6,Low,4.66,1.5199999999999996,Outperforming
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,Regular,11.82,11.84,14.14,0.85,1.25,1.41,0.91,14.0,-27.54,1.64,Moderate,10.43,1.41,Outperforming
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,Direct,13.95,12.14,13.66,0.87,1.54,1.43,0.87,14.0,-17.4,0.75,Moderate,10.71,1.4299999999999995,Outperforming
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,Regular,14.88,15.18,18.94,0.8,1.18,1.42,1.0,19.0,-32.38,1.38,High,13.76,1.42,Outperforming
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,Regular,21.97,20.98,22.62,0.84,1.4,0.51,1.0,25.0,-14.45,1.38,Very High,20.47,0.5100000000000016,Outperforming
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,Regular,14.82,13.78,12.86,0.98,1.25,1.34,1.03,14.0,-15.07,1.6,Moderate,12.44,1.34,Outperforming
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,Regular,24.93,22.38,23.8,0.9,1.47,1.84,0.97,25.0,-23.61,1.53,Very High,20.54,1.84,Outperforming
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,Regular,6.18,5.14,7.95,5.14,8.76,1.18,0.43,0.5,-3.66,0.79,Low,3.96,1.1799999999999995,Outperforming
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,Regular,13.76,12.1,11.31,0.93,1.29,0.93,0.9,13.0,-24.42,1.57,Moderate,11.17,0.9299999999999996,Outperforming
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,Regular,16.3,15.61,15.86,0.82,1.21,1.12,0.92,19.0,-13.43,1.51,High,14.49,1.1199999999999992,Outperforming
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,Regular,17.43,15.34,15.78,0.96,1.37,1.79,1.0,16.0,-12.14,1.64,Moderately High,13.55,1.7899999999999991,Outperforming
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,Regular,15.12,14.81,12.68,1.06,1.66,1.62,0.96,14.0,-17.07,1.46,Moderate,13.19,1.620000000000001,Outperforming
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,Regular,14.91,14.56,15.68,0.91,1.55,1.7,0.99,16.0,-33.15,1.52,Moderately High,12.86,1.700000000000001,Outperforming
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,Regular,11.16,13.58,14.26,0.8,1.03,0.54,0.98,17.0,-22.62,1.6,High,13.04,0.5400000000000009,Outperforming
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,Regular,11.96,12.82,12.35,0.92,1.63,1.82,0.91,14.0,-21.7,1.54,Moderate,11.0,1.8200000000000005,Outperforming
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,Regular,14.12,17.16,19.0,0.9,1.5,1.02,0.98,19.0,-26.99,1.61,High,16.14,1.0199999999999996,Outperforming
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,Regular,20.2,20.08,20.61,0.8,1.23,0.69,0.98,25.0,-17.01,1.52,Very High,19.39,0.6899999999999977,Outperforming
