amfi_code,cagr_3yr,sharpe_ratio,alpha,max_drawdown,expense_ratio_pct,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,return_score,sharpe_score,alpha_score,expense_score,drawdown_score,final_score,overall_rank
149322,18.04420648663614,0.4640374492204776,0.13173190226099432,-0.14844576917771746,1.54,21.0,25.0,24.0,30.0,16.0,48.717948717948715,38.46153846153847,41.02564102564102,25.64102564102564,61.53846153846154,42.43589743589743,25
125498,11.245222866621418,0.30061192104254775,0.11989100971217971,-0.21117279560132118,0.78,26.0,27.0,26.0,10.0,29.0,35.8974358974359,33.33333333333333,35.8974358974359,76.92307692307693,28.205128205128204,40.641025641025635,26
120844,6.695971624586994,-0.08874729621557331,0.06455677495375998,-0.0011629327956168556,0.6,30.0,34.0,32.0,3.0,2.0,25.64102564102564,15.384615384615385,20.51282051282051,94.87179487179486,97.43589743589743,39.61538461538461,27
120841,17.26727508371786,0.49427253786723496,0.13042924450705445,-0.1757361416468729,1.59,22.0,24.0,25.0,35.0,24.0,46.15384615384615,41.02564102564102,38.46153846153847,12.82051282051282,41.02564102564102,37.82051282051282,28
118634,8.007927728656083,0.44843400890899127,0.1750072167561127,-0.2334488614483311,1.53,27.0,26.0,18.0,28.0,32.0,33.33333333333333,35.8974358974359,56.41025641025641,30.76923076923077,20.51282051282051,36.92307692307692,29
118636,4.062205023777143,-0.35662950751436795,0.05074772999976104,-0.08316361763638702,0.55,33.0,38.0,35.0,1.0,6.0,17.94871794871795,5.128205128205128,12.82051282051282,100.0,87.17948717948718,32.94871794871795,30
119120,5.840358798463097,-0.22657538662791596,0.05620895216638369,-0.04328728923970093,0.77,32.0,37.0,34.0,9.0,5.0,20.51282051282051,7.6923076923076925,15.384615384615385,79.48717948717949,89.74358974358975,32.05128205128205,31
101208,6.315784491375509,-0.8155673679088278,0.060861457957871144,-0.0016224980244717857,0.79,31.0,40.0,33.0,11.0,3.0,23.076923076923077,0.0,17.94871794871795,74.35897435897436,94.87179487179486,31.153846153846153,32
100025,3.9163899571040384,-0.5670947928476847,0.042817920315060876,-0.04308263824636349,0.56,34.0,39.0,38.0,2.0,4.0,15.384615384615385,2.564102564102564,5.128205128205128,97.43589743589743,92.3076923076923,30.128205128205124,33
120842,7.756003551327284,0.07599984804658916,0.0780443887615508,-0.24003511326274884,1.56,28.0,30.0,29.0,33.0,33.0,30.76923076923077,25.64102564102564,28.205128205128204,17.94871794871795,17.94871794871795,25.76923076923077,34
119599,-1.337386614488112,-0.05718662582817997,0.048824215945539845,-0.5257422117012851,0.72,38.0,32.0,36.0,5.0,40.0,5.128205128205128,20.51282051282051,10.256410256410255,89.74358974358975,0.0,22.17948717948718,35
119092,0.5258871209757432,0.030784850954585913,0.0689952982167755,-0.1440161790933726,1.64,36.0,31.0,30.0,39.0,15.0,10.256410256410255,23.076923076923077,25.64102564102564,2.564102564102564,64.1025641025641,20.76923076923077,36
101207,-4.152381044854481,0.1626607692864677,0.10897091901704538,-0.3544691649336603,1.53,39.0,28.0,27.0,28.0,38.0,2.564102564102564,30.76923076923077,33.33333333333333,30.76923076923077,5.128205128205128,20.256410256410255,37
119095,-11.705806723995272,-0.07597357117478923,0.048015953637759554,-0.5167775370852656,1.38,40.0,33.0,37.0,16.0,39.0,0.0,17.94871794871795,7.6923076923076925,61.53846153846154,2.564102564102564,15.512820512820511,38
102886,-0.7674063178547241,-0.20583160785470314,0.028969397866379445,-0.2800112356639287,1.51,37.0,36.0,40.0,24.0,35.0,7.6923076923076925,10.256410256410255,0.0,41.02564102564102,12.82051282051282,12.307692307692307,39
100016,1.292649342495622,-0.2015170675596694,0.03747580763443282,-0.24734440880673303,1.55,35.0,35.0,39.0,32.0,34.0,12.82051282051282,12.82051282051282,2.564102564102564,20.51282051282051,15.384615384615385,12.179487179487179,40
